year,month,new_cases,new_deaths,new_tests,Date
2019,12,0.0,0.0,0.0,2019-12-01
2020,1,3.0,0.0,0.0,2020-01-01
2020,2,885.0,21.0,0.0,2020-02-01
2020,3,100851.0,11570.0,0.0,2020-03-01
2020,4,101852.0,16091.0,419591.0,2020-04-01
2020,5,29073.0,5658.0,1078720.0,2020-05-01
2020,6,7772.0,1404.0,830354.0,2020-06-01
2020,7,6722.0,388.0,797692.0,2020-07-01
2020,8,21060.0,345.0,1098704.0,2020-08-01
2020,9,3297.0,20.0,54395.0,2020-09-01
